Date,Category,Task,Details/Resources,Time (approx)
2025-09-21,DSA,Two Sum,LeetCode #1 - Use HashMap to store complements. Focus on O(n) solution. https://leetcode.com/problems/two-sum/,45m
2025-09-21,Behavioral & Cultural Fit,"Tell me about a time you solved a tough technical problem.","Practice STAR (Situation, Task, Action, Result). Amazon LP: 'Invent and Simplify'. Resource: https://www.interviewkickstart.com/interview-questions/amazon-leadership-principles",30m
2025-09-21,System Design,Intro to Load Balancers & Caching,"Read System Design Primer: https://github.com/donnemartin/system-design-primer#load-balancer and caching section. Take notes on why load balancers improve scalability.",45m

2025-09-22,DSA,Best Time to Buy/Sell Stock,LeetCode #121 - Track min price, compute max profit. https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,45m
2025-09-22,Behavioral & Cultural Fit,"Tell me about a time you disagreed with a teammate.","Practice STAR. Google values 'collaboration' and Amazon LP 'Have Backbone; Disagree and Commit'. Resource: https://igotanoffer.com/blogs/tech/behavioral-interview-questions",30m
2025-09-22,System Design,Database Basics,"Read about SQL vs NoSQL. https://www.geeksforgeeks.org/sql-vs-nosql/ Compare trade-offs in scalability and consistency.",45m

2025-09-23,DSA,Valid Anagram,LeetCode #242 - Use sorting O(n log n) or HashMap O(n). https://leetcode.com/problems/valid-anagram/,45m
2025-09-23,Behavioral & Cultural Fit,"Tell me about a time you failed.","Practice showing what you learned from failure. Amazon LP 'Learn and Be Curious'. Resource: https://www.pathrise.com/guides/behavioral-interview-questions/",30m
2025-09-23,System Design,URL Shortener,"Design TinyURL system. Key points: Hashing, collisions, DB design. Resource: https://github.com/donnemartin/system-design-primer#design-a-url-shortener",60m

2025-09-24,DSA,Group Anagrams,LeetCode #49 - Use HashMap with sorted string as key. https://leetcode.com/problems/group-anagrams/,45m
2025-09-24,Behavioral & Cultural Fit,"Tell me about a time you took initiative.","Practice STAR. Google values 'bias to action'. Resource: https://interviewgenie.com/blog-1/2017/7/12/google-behavioral-interview-questions",30m
2025-09-24,System Design,Scalability Basics,"Read about vertical vs horizontal scaling. Resource: https://www.scaleyourapp.com/vertical-vs-horizontal-scaling",45m

2025-09-25,DSA,Longest Substring Without Repeating Characters,LeetCode #3 - Sliding window with HashSet. https://leetcode.com/problems/longest-substring-without-repeating-characters/,45m
2025-09-25,Behavioral & Cultural Fit,"Tell me about a time you delivered under pressure.","Amazon LP: 'Deliver Results'. Focus on clear outcome. Resource: https://interviewgenie.com/blog-1/2018/2/21/amazon-leadership-principles-interview-questions",30m
2025-09-25,System Design,Messaging Queue,"Read about Kafka basics. Resource: https://kafka.apache.org/intro. Understand why queues decouple services.",45m

2025-09-26,DSA,Reverse Linked List,LeetCode #206 - Iterative vs Recursive. https://leetcode.com/problems/reverse-linked-list/,45m
2025-09-26,Behavioral & Cultural Fit,"Describe a time you improved a process.","Amazon LP: 'Invent and Simplify'. Focus on measurable improvement.",30m
2025-09-26,System Design,Design Chat App (WhatsApp-lite),"Cover messaging service, delivery guarantees, DB choice. Resource: https://github.com/donnemartin/system-design-primer#design-a-chat-system",60m

2025-09-27,DSA,Merge Two Sorted Lists,LeetCode #21 - Use dummy node and pointers. https://leetcode.com/problems/merge-two-sorted-lists/,45m
2025-09-27,Behavioral & Cultural Fit,"Tell me about a time you influenced a decision.","Google values 'communication & persuasion'. STAR format. Resource: https://igotanoffer.com/blogs/tech/google-behavioral-interview",30m
